"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xkr4",0,1.50952531236439,0.889,0.421,0
"Col19a1",0,2.09531249770313,0.419,0.025,0
"Erbb4",0,3.13400250317494,0.743,0.112,0
"Dpp10",0,1.83149477841665,0.649,0.135,0
"Etl4",0,1.82320742197001,0.777,0.246,0
"Gad2",0,1.53445168340416,0.321,0.026,0
"Gm13629",0,1.44191381613569,0.287,0.014,0
"Gad1",0,1.18638526770252,0.345,0.056,0
"Frmd5",0,1.72988560426043,0.726,0.182,0
"Snhg11",0,1.40461442691103,1,0.763,0
"Kcnmb2",0,2.77878442581229,0.696,0.037,0
"Elavl2",0,1.77137866213675,0.564,0.104,0
"Rab3b",0,1.3691161114526,0.304,0.026,0
"Kctd8",0,1.70897947838003,0.386,0.04,0
"Cit",0,2.51901723556927,0.711,0.099,0
"Dlx6os1",0,1.23004402683475,0.284,0.025,0
"Nxph1",0,2.92139147709898,0.835,0.054,0
"Kcnc1",0,1.29460900143897,0.352,0.059,0
"Moxd1",0,1.43046996929483,0.251,0.011,0
"Ankrd24",0,1.5359323123074,0.445,0.071,0
"Kcnc2",0,2.90988333937741,0.874,0.139,0
"Grip1",0,2.3311093048252,0.87,0.206,0
"Myo16",0,1.25278501646596,0.341,0.059,0
"Unc5d",0,1.94199506670505,0.772,0.228,0
"4930555F03Rik",0,2.19808071089126,0.375,0.045,0
"Galntl6",0,1.60800953480843,0.853,0.328,0
"Cntnap4",0,1.73475230611091,0.398,0.04,0
"Gria4",0,2.4157653838017,0.841,0.216,0
"Rbms3",0,1.93150007154302,0.538,0.05,0
"Kcnip1",0,1.16924671652674,0.295,0.04,0
"Coro6",0,1.87700144265598,0.474,0.041,0
"Rnf144b",0,1.62464858212437,0.349,0.019,0
"Nrxn3",0,1.53052994592537,0.997,0.614,0
"Meg3",0,1.19734507233421,1,0.899,0
"Plcxd3",0,1.40658500289361,0.339,0.055,0
"Grik1",0,2.09285737877732,0.458,0.034,0
"Satb1",0,1.49932241585849,0.404,0.065,0
"Ptprm",0,1.60553433029095,0.479,0.066,0
"Alk",0,1.35610275534708,0.301,0.027,0
"Gabrg3",2.00307084609474e-302,1.68600631692294,0.662,0.231,3.49495801226609e-298
"Utrn",2.12378349275429e-301,1.12131617391947,0.313,0.05,3.70557743815768e-297
"Zbtb20",1.17900628182525e-288,-2.28077967028391,0.366,0.757,2.05713016052869e-284
"Efna5",3.72141257735795e-287,1.49200573277398,0.372,0.076,6.49312066497415e-283
"Pam",1.11182891063788e-281,1.44132363376522,0.689,0.246,1.93991908328098e-277
"5330434G04Rik",7.18362080207698e-279,1.33890838567386,0.649,0.221,1.25339815754639e-274
"Gm38505",3.49263575627524e-273,1.09290443539458,0.299,0.05,6.09395086754904e-269
"Il1rapl2",1.1902835500844e-270,1.77284667505229,0.354,0.074,2.07680673818726e-266
"Hcn1",4.1146643031295e-264,1.30364987808763,0.697,0.26,7.17926627610035e-260
"Sgcz",4.55365042588054e-259,1.3409545609049,0.631,0.207,7.94520926307636e-255
"Dlc1",3.3866607696178e-253,1.26918027494769,0.483,0.135,5.90904571082913e-249
"Spock3",1.72769777272703e-252,1.21963715603321,0.488,0.132,3.01448707385412e-248
"Ube3a",2.33391288468511e-252,1.0236265451385,0.971,0.664,4.07221120119859e-248
"Zfp536",1.60719346773484e-248,1.0625372002779,0.324,0.063,2.80423116250375e-244
"Tmtc2",2.32359541329641e-236,1.18539440234554,0.422,0.107,4.05420927711957e-232
"Sst",1.68340268453069e-232,2.03453076408275,0.522,0.177,2.93720100396916e-228
"Gm26905",3.57339329784694e-224,1.28285854874248,0.491,0.147,6.23485662608334e-220
"Lrrc4c",6.34162863723018e-223,1.16627133143093,0.887,0.537,1.10648736462392e-218
"Mef2c",2.02296015592168e-221,1.2994683183347,0.532,0.172,3.52966088005215e-217
"Usp29",4.5997090452708e-218,1.29531941095415,0.459,0.134,8.02557234218849e-214
"Gpc6",9.43015192198723e-214,1.2960121491729,0.437,0.123,1.64537290734833e-209
"Gm1992",3.12093541131101e-208,1.22555040340026,0.459,0.142,5.44540810565545e-204
"Esrrg",1.73344037575974e-207,1.16226358758754,0.373,0.096,3.0245067676256e-203
"Celf2",3.45870341685488e-195,-1.46525556744996,0.756,0.8,6.03474572172839e-191
"Pde4d",2.3622437156825e-190,1.03800985878035,0.857,0.472,4.12164283512282e-186
"Astn2",3.77163502580234e-187,1.17170994289386,0.688,0.314,6.58074879301992e-183
"Zfp385b",8.55043980135725e-187,1.22728926433385,0.477,0.166,1.49188073654081e-182
"Gm11418",9.30431890031401e-181,1.19581322964817,0.364,0.103,1.62341756172679e-176
"Cntnap5c",1.42100730254206e-180,1.24762290391503,0.487,0.172,2.47937354147539e-176
"Ptchd4",1.39424024740973e-178,0.982723685354295,0.575,0.203,2.43267038368049e-174
"Thrb",4.04633538849148e-178,1.1109219882971,0.564,0.215,7.06004598583993e-174
"Kcnip4",2.95370778467774e-177,-1.68119478728616,0.476,0.736,5.15362934270572e-173
"Tenm3",2.3296217017626e-175,1.20820706842012,0.597,0.238,4.06472394523538e-171
"Cntnap2",1.90282238114909e-174,1.04973516079229,0.881,0.466,3.32004449062892e-170
"Grin3a",2.25964560573681e-173,1.04729005744546,0.27,0.061,3.94262965288959e-169
"Oxr1",8.64991222735799e-166,1.09630248894135,0.716,0.359,1.50923668542942e-161
"Gm13944",6.70085207052321e-164,1.19139875878792,0.413,0.139,1.16916466926489e-159
"Slc6a1",4.50305340317411e-157,0.735708964303977,0.292,0.071,7.85692757785819e-153
"Fgf12",6.31926198769879e-156,0.984727574101127,0.394,0.126,1.10258483161368e-151
"Epb41l3",9.03793240109193e-154,0.921312737631633,0.364,0.111,1.57693844534252e-149
"Rapgef4os1",4.05270688123332e-149,1.03500931411866,0.649,0.308,7.0711629663759e-145
"Inpp5j",1.47504139344422e-147,0.981292462323416,0.308,0.086,2.57365222328148e-143
"Hdac3",1.50758209296653e-146,0.931492812617403,0.511,0.199,2.630429235808e-142
"Camk1",1.45283122388182e-145,0.818280289914158,0.261,0.065,2.53489991942901e-141
"Fam19a1",4.81887573442285e-145,-2.39254899668415,0.167,0.509,8.40797438142099e-141
"Tmem91",3.25202328060699e-144,0.977812485260385,0.264,0.068,5.67413022000308e-140
"Pla2g3",4.00330527098963e-144,1.11523153479175,0.536,0.228,6.9849670368227e-140
"Tmem145",4.73499599791871e-144,0.926617570140253,0.393,0.129,8.26162101716857e-140
"Ptprd",3.41968512000746e-143,-1.73254836624038,0.525,0.724,5.96666659738902e-139
"Rab3c",8.63302169962317e-141,0.966594001465479,0.446,0.164,1.50628962615025e-136
"Magi1",7.47958987861954e-140,0.893103800994375,0.456,0.165,1.30503884202154e-135
"Cdh13",3.44283247414273e-138,1.03759281869494,0.36,0.115,6.00705410088423e-134
"Kidins220",2.11329296623892e-131,1.1304079457607,0.437,0.169,3.68727356749367e-127
"Nlgn1",2.40770743477908e-131,-1.05888287759025,0.572,0.779,4.20096793220254e-127
"Osbpl9",1.8978350060873e-129,0.837015837495201,0.427,0.154,3.31134251862111e-125
"Limch1",1.11752424802111e-125,0.802179176834772,0.426,0.153,1.94985630794722e-121
"Wwox",2.22293910788829e-125,0.795907190737176,0.457,0.174,3.87858415544348e-121
"Sox6",2.29652246348204e-125,0.56943338548594,0.261,0.067,4.00697239428347e-121
"Ogt",1.92746989306485e-124,0.799504289428121,0.739,0.395,3.36304946941955e-120
"Cpeb3",2.01960156869044e-123,0.819593741993435,0.756,0.424,3.52380081705108e-119
"Arpp21",5.70415260114728e-123,-1.82021484079921,0.133,0.459,9.95260545848177e-119
"Klf12",8.90935923021144e-122,0.794024248121173,0.379,0.131,1.55450499848729e-117
"Garnl3",2.91189497339289e-121,0.926863043208223,0.292,0.09,5.08067434957591e-117
"Dner",9.7335406413568e-120,0.789224852552105,0.309,0.096,1.69830817110393e-115
"Haghl",1.37227423091235e-114,0.835400297264955,0.619,0.307,2.39434407809587e-110
"Scn1a",1.49676744594396e-114,0.857245591347953,0.385,0.144,2.61155983968302e-110
"Sntg1",3.12976729060338e-113,0.912391465616957,0.691,0.397,5.46081796864477e-109
"Mirg",3.16967787055772e-112,0.860870399534378,0.353,0.128,5.53045394854911e-108
"RP24-274B19.1",9.89609745449211e-111,0.766716707476847,0.343,0.12,1.72667108385978e-106
"Npas3",1.31839229498854e-108,0.535928427638945,0.494,0.194,2.30033087629601e-104
"Rims2",6.21790068217303e-108,0.799809146088022,0.509,0.226,1.08489931102555e-103
"Klhl32",8.87529943247405e-108,0.799610783035535,0.27,0.083,1.54856224497807e-103
"Arhgap26",1.38322928521981e-107,0.794723707538,0.398,0.153,2.41345845685152e-103
"Serpini1",4.68234796727981e-106,0.851350295316694,0.374,0.142,8.16976073330982e-102
"Neto1",4.9261957816796e-106,0.936474151108525,0.382,0.151,8.59522639987457e-102
"Zfp804b",1.11953392270069e-104,1.29084122743384,0.345,0.128,1.95336278832817e-100
"Kifc2",1.62437734724067e-104,0.79104439420892,0.483,0.21,2.83421359546551e-100
"Lrrtm3",1.40315719953432e-103,0.596915665857595,0.454,0.181,2.44822868174748e-99
"Pde10a",2.86129129036728e-102,0.816422201206356,0.585,0.291,4.99238104343283e-98
"Rsrp1",5.84352422630507e-102,0.638923539908423,0.92,0.715,1.01957810700571e-97
"Mast2",2.83571901849354e-101,0.729194766604543,0.325,0.115,4.94776254346753e-97
"Cacnb4",3.25124266820877e-101,0.74150039002602,0.494,0.219,5.67276820749067e-97
"Dnm3",3.53550666890219e-101,0.698891718900924,0.398,0.154,6.16875203590054e-97
"Ctnna2",1.78515404109941e-99,0.775337312502432,0.832,0.559,3.11473677091026e-95
"Tmem132d",2.02156046437502e-99,0.710639589358429,0.271,0.087,3.52721869824153e-95
"Cadm2",1.38107173196367e-97,-0.947268343339339,0.696,0.798,2.4096939579302e-93
"Asic2",8.41591058744913e-97,0.906390493656656,0.655,0.37,1.46840807929812e-92
"Rap1gap",8.04286585529095e-95,0.760907256986165,0.433,0.187,1.40331923443117e-90
"Bckdhb",2.01372385766007e-94,0.661437215221424,0.251,0.079,3.51354538684529e-90
"Dab1",2.59351444543198e-93,-1.14788014641508,0.502,0.663,4.52516400438972e-89
"Gabrb1",1.23330594843716e-91,-1.27678647506578,0.435,0.636,2.15187221883316e-87
"Rmdn1",1.40522918342303e-89,0.727209512668817,0.533,0.262,2.45184387923651e-85
"Pcdh15",2.75855510413656e-89,0.539225512872887,0.423,0.176,4.81312694569747e-85
"Zranb2",8.79387322703405e-89,0.735129031282276,0.496,0.236,1.5343550006529e-84
"A330102I10Rik",2.10525905456306e-88,0.737802620098609,0.319,0.121,3.67325599840162e-84
"Ctnna3",2.6857009433848e-88,0.553826737017566,0.457,0.196,4.68601100601779e-84
"Slit3",2.88204525152919e-88,-1.48254940112565,0.168,0.432,5.02859255486812e-84
"Srrm4",1.1930720212937e-87,0.7518644729971,0.361,0.146,2.08167206275325e-83
"Tmem126a",1.37265708807401e-87,0.758446148284679,0.522,0.256,2.39501208727153e-83
"Agbl4",5.71844525335852e-87,0.647830393492497,0.572,0.287,9.97754327805994e-83
"Evl",1.2435928243311e-85,0.640904918328472,0.33,0.127,2.16982075989291e-81
"Cdh18",1.32662890667951e-85,0.69340595466931,0.304,0.113,2.31470211637441e-81
"Gria3",1.73241122870862e-85,0.798472546554077,0.595,0.331,3.02271111185079e-81
"Trhde",1.84102521935029e-85,1.13340169064548,0.295,0.115,3.21222080272238e-81
"Cacna1a",1.86745585701143e-85,0.702186561331463,0.643,0.351,3.25833697931354e-81
"Gria1",2.94702028020694e-85,0.734102562549876,0.888,0.619,5.14196098490506e-81
"Ptprt",7.9921300259206e-85,0.735368015865888,0.365,0.147,1.39446684692263e-80
"A230006K03Rik",2.25648885811245e-84,0.748801922970346,0.468,0.223,3.9371217596346e-80
"Tcf4",6.04473132854898e-84,0.570384802151993,0.897,0.669,1.05468472220523e-79
"Dlgap2",3.5243730796382e-83,0.651689783194271,0.758,0.47,6.14932614935274e-79
"Ppp3ca",3.78694720169555e-82,-1.00763819137625,0.644,0.71,6.6074654775184e-78
"Cacna2d1",1.03241452080186e-81,-1.52394430159351,0.096,0.35,1.80135685589509e-77
"Lrp1b",5.75744627147481e-81,-0.88269106527339,0.65,0.772,1.00455922544692e-76
"Ddx26b",4.77146692458758e-79,0.637284300906827,0.27,0.098,8.32525549002042e-75
"Sars",1.0093171580532e-76,0.647909269054273,0.287,0.11,1.76105657737123e-72
"Sv2a",1.54638705247304e-76,0.604009271172555,0.287,0.108,2.69813612915496e-72
"Phf1",1.6200344996249e-76,0.655435806308156,0.293,0.114,2.82663619494553e-72
"Cadps",3.44613332913375e-76,0.666138378596988,0.641,0.367,6.01281343267256e-72
"Cacnb2",4.13296528622657e-76,-1.46609592119698,0.296,0.49,7.21119783140812e-72
"Nfib",1.3912144010247e-75,-1.34010649625095,0.168,0.412,2.4273908869079e-71
"Dlgap1",2.18521928174929e-75,0.534285409001635,0.956,0.786,3.81277060279617e-71
"Ntm",2.23162966985351e-75,0.418754647330663,0.81,0.5,3.8937474479604e-71
"Lrrtm4",6.00995572270613e-75,0.436054725943289,0.913,0.581,1.04861707449776e-70
"Ryr3",8.68152599634384e-75,-1.47589436210281,0.1,0.338,1.51475265584207e-70
"Clstn3",2.01700747450781e-74,0.65106786344205,0.266,0.099,3.51927464152123e-70
