cluster,index,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
1,0,Kcnq5,0.0,2.09109293055503,0.856,0.382,0.0
1,1,Efr3b,0.0,0.72262873163441,0.373,0.1,0.0
1,2,Pde4d,0.0,1.25334708521413,0.921,0.446,0.0
1,3,2010111I01Rik,0.0,1.07795904240495,0.685,0.236,0.0
1,4,Spock1,0.0,1.53146877013077,0.578,0.094,0.0
2,0,Rgs20,0.0,1.82380048917903,0.513,0.081,0.0
2,1,Mt2,0.0,2.65888495475773,0.875,0.267,0.0
2,2,Mt1,0.0,2.19863873487169,0.957,0.555,0.0
2,3,Lcat,0.0,1.69418175924983,0.308,0.036,0.0
2,4,Ndrg2,0.0,1.68220946735617,0.748,0.233,0.0
3,0,Erbb4,0.0,1.70324824848235,0.571,0.123,0.0
3,1,Brinp3,0.0,2.45150133366765,0.614,0.157,0.0
3,2,Lrrc4c,0.0,2.02838162418949,0.886,0.54,0.0
3,3,Lhfpl3,0.0,4.74139797428499,0.906,0.069,0.0
3,4,Pdgfra,0.0,2.60631081301117,0.283,0.005,0.0
4,0,Cacnb2,0.0,1.29994878806938,0.901,0.442,0.0
4,1,Tenm2,0.0,0.689148987967301,0.995,0.706,0.0
4,2,Gria1,0.0,0.964839182031406,0.958,0.597,0.0
4,3,Ppm1e,0.0,1.22955043058884,0.898,0.502,0.0
4,4,Chrm3,0.0,2.10802316026849,0.859,0.229,0.0
5,0,Inpp5d,0.0,2.65761667071346,0.259,0.007,0.0
5,1,Hmha1,0.0,3.65259225682492,0.47,0.008,0.0
5,2,Tgfbr1,7.43918685762244e-260,2.84349380259606,0.359,0.041,1.29798932291796e-255
5,3,Plxdc2,1.1963356162638102e-247,3.14104872737387,0.532,0.1,2.0873663832570999e-243
5,4,Lsamp,2.31961226639934e-221,-2.81976795830794,0.307,0.944,4.04725948241357e-217
6,0,St18,0.0,3.71682296310383,0.738,0.088,0.0
6,1,Sec14l5,0.0,2.75044008694975,0.331,0.006,0.0
6,2,Neat1,0.0,3.65694658511996,0.764,0.112,0.0
6,3,Mog,0.0,3.38259223983033,0.551,0.031,0.0
6,4,Lsamp,0.0,-2.9603022663739,0.32,0.949,0.0
7,0,Xkr4,0.0,-2.36303782740717,0.026,0.506,0.0
7,1,Hs6st3,0.0,-2.37167173346512,0.024,0.395,0.0
7,2,Farp1,0.0,1.94654788230374,0.393,0.132,0.0
7,3,Fgf14,0.0,-1.99865298944186,0.171,0.773,0.0
7,4,Cntn5,0.0,-2.37095341828743,0.022,0.361,0.0
8,0,Satb2,0.0,1.54409265121727,0.295,0.045,0.0
8,1,Zbtb20,0.0,-2.00721134565753,0.338,0.766,0.0
8,2,Tenm2,0.0,1.16499012940164,0.985,0.717,0.0
8,3,Cntn5,0.0,1.9706936744362,0.772,0.287,0.0
8,4,Hs6st3,0.0,1.73214001078653,0.827,0.315,0.0
9,0,Nr4a2,0.0,2.0679056696958,0.523,0.028,0.0
9,1,Nr4a3,0.0,1.70108976579569,0.391,0.017,0.0
9,2,Egr4,0.0,2.02130567077063,0.387,0.023,0.0
9,3,Pcsk1,0.0,1.34898734586384,0.287,0.009,0.0
9,4,Homer1,0.0,3.01964084198131,0.799,0.1,0.0
10,0,Cped1,0.0,2.99188176585844,0.406,0.012,0.0
10,1,Slc6a13,0.0,2.92326739323334,0.35,0.002,0.0
10,2,Nupr1,0.0,2.41502232201995,0.269,0.005,0.0
