index,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
0,Inpp5d,0.0,2.65761667071346,0.259,0.007,0.0,5
1,Inpp5d,8.809074190565489e-286,1.78073740857417,0.315,0.009,1.53700726476987e-281,17
2,Tgfbr1,7.43918685762244e-260,2.84349380259606,0.359,0.041,1.29798932291796e-255,5
2,Tgfbr1,6.162123279662551e-106,2.00617179941295,0.416,0.044,1.07516726983552e-101,17
3,Plxdc2,1.1963356162638102e-247,3.14104872737387,0.532,0.1,2.0873663832570999e-243,5
3,Plxdc2,2.2587431025622199e-69,1.91638373187855,0.537,0.105,3.94105496535057e-65,17
5,Hexb,6.583374699291561e-161,2.46742819989477,0.311,0.048,1.14866721753239e-156,5
5,Hexb,2.39527816343678e-35,1.3511771430483,0.275,0.051,4.179281339564499e-31,17
9,Plxdc2,1.9654791456454502e-15,1.55436308813086,0.636,0.106,3.4293680133221797e-11,21
96,Srgap2,1.05434952404053e-06,0.719577870012371,0.309,0.176,0.0183962904954592,17
109,Tanc2,0.123237829201046,-0.634830425406534,0.182,0.348,1.0,21
139,Tanc2,5.67073051292233e-64,0.741222476336851,0.538,0.34,9.894290598946881e-60,12
143,Nav2,3.18414645117786e-21,-1.49783757739399,0.064,0.379,5.55569872801513e-17,10
144,Nav2,0.158740065686435,-0.683117016530582,0.227,0.377,1.0,21
170,Nav2,1.03114115523368e-48,0.601358413889543,0.545,0.369,1.7991350876517302e-44,12
192,Tanc2,1.49108536186887e-25,0.382159237898337,0.457,0.342,2.60164573938881e-21,8
195,Plxdc2,1.50545652577416e-16,1.21863533902606,0.261,0.105,2.6267205461707498e-12,10
198,Plxdc2,1.14237326144074e-57,1.40844896248411,0.273,0.103,1.99321286656181e-53,6
210,Nav2,2.040181692849e-27,0.411438304409632,0.527,0.37,3.55970901768294e-23,15
215,Nav2,4.01626160654779e-19,0.345418117897285,0.471,0.371,7.0075732511045905e-15,8
236,Srgap2,1.45247280994101e-14,0.506390412311095,0.451,0.175,2.53427455878508e-10,16
241,Tanc2,2.86645991536832e-18,0.568103111713405,0.631,0.346,5.0013992603346405e-14,9
246,Tanc2,4.15461386435576e-13,-0.947258599179363,0.103,0.35,7.248970270527941e-09,10
248,Nav2,4.41171664902229e-48,-1.099044806912,0.09,0.383,7.697563209214091e-44,6
271,Srgap2,7.777539531763871e-111,0.407530553267521,0.351,0.16,1.35702509750216e-106,1
280,Nav2,0.0016938152828331,0.456321941751455,0.47,0.376,1.0,17
290,Srgap2,1.7036531030357898e-36,0.415743376451711,0.32,0.171,2.97253393417684e-32,19
292,Tanc2,7.45696029872718e-05,0.570725212475968,0.47,0.348,1.0,17
296,Tanc2,3.061234304126e-258,-0.962696075252427,0.092,0.389,5.34124161383905e-254,7
329,Srgap2,1.46345392914208e-50,0.275496732495619,0.305,0.167,2.5534344155671e-46,11
335,Tanc2,2.3061479414147103e-31,-0.625953511311777,0.112,0.354,4.02376692818039e-27,6
338,Tanc2,5.27119041693857e-39,0.319278123373389,0.596,0.339,9.19717303947441e-35,18
354,Nav2,1.26355689647322e-198,-0.701635197477343,0.134,0.416,2.20465407296648e-194,7
368,Nav2,0.001306565032003,0.425490858860784,0.574,0.376,1.0,20
372,Tanc2,3.5890022380414605e-15,-0.890244416426647,0.146,0.35,6.262091104934749e-11,14
375,Tanc2,2.30863679924187e-41,-0.888625207567171,0.152,0.355,4.02810948731722e-37,2
379,Nav2,0.453683812376725,0.529441807636553,0.305,0.379,1.0,3
389,Srgap2,1.79981092944432e-32,0.261629987306348,0.332,0.171,3.14031010969446e-28,18
410,Nav2,1.95059153120506e-12,-0.792831247453723,0.202,0.378,3.40339210364659e-08,14
414,Srgap2,3.91202525625377e-12,1.43923886187001,0.257,0.175,6.82570166711159e-08,5
478,Nav2,0.15684924211099,0.456297589320193,0.265,0.378,1.0,5
486,Tanc2,6.05205183398661e-08,0.25950332337707,0.66,0.347,0.0010559620039939,16
513,Tanc2,0.0283269659181603,0.852326305268485,0.307,0.349,1.0,5
545,Nav2,0.553116246003192,-0.255000960372194,0.451,0.374,1.0,18
558,Nav2,0.0004325959707131,-0.252842731379743,0.498,0.365,1.0,1
584,Nav2,0.670876832336427,-0.338994508401668,0.434,0.376,1.0,9
768,Plxdc2,8.197027269152749e-22,0.633398774967148,0.272,0.105,1.43021731792177e-17,13
769,Nav2,8.931242354404809e-22,-1.28023798135364,0.13,0.379,1.55832316599655e-17,13
783,Nav2,0.143238871265117,-0.576497927409148,0.403,0.376,1.0,16
800,Tanc2,2.7853155894218e-20,-1.25923378534761,0.115,0.351,4.85981864042316e-16,13
813,Srgap2,1.56520301257903e-19,0.741735107893495,0.361,0.174,2.73096621634789e-15,13
