"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RP23-231J2.1",0,4.61239330331577,0.931,0.073,0
"Tmem132cos",0,1.41378755315905,0.285,0.005,0
"Trpc7",4.33429569203566e-201,1.16511964658166,0.292,0.011,7.56247912346381e-197
"4930467D21Rik",4.36656316447242e-194,1.69618548993274,0.472,0.03,7.61877940937148e-190
"Clmp",1.98852160406688e-166,1.62651427949464,0.514,0.041,3.4695724947759e-162
"Cpne9",2.68313182785123e-166,1.24203879260224,0.264,0.011,4.68152841323482e-162
"Naa11",8.04930088120334e-147,1.49123617514753,0.403,0.029,1.40444201775236e-142
"Trps1",3.03686028388724e-122,2.31770335853722,0.938,0.2,5.29871382332645e-118
"Rnf182",2.02858864273304e-113,1.93239302482483,0.826,0.149,3.53948146384061e-109
"Mgat4c",3.90729802177544e-106,2.50289943333104,0.979,0.278,6.8174535883938e-102
"Rgs6",4.35968639042581e-85,1.49909810182597,0.528,0.077,7.60678081401496e-81
"Grm8",6.33555295723404e-84,1.64172816591959,0.611,0.103,1.10542727997819e-79
"Cpne4",5.59758606330157e-83,1.60846888099538,0.764,0.157,9.76666816324858e-79
"Necab1",1.45111527960007e-82,1.45977079144076,0.472,0.065,2.53190593984621e-78
"Nell1",5.05978529271236e-81,1.5982770806339,0.66,0.123,8.82831337872452e-77
"Slit2",8.04300408110898e-80,1.77727753393183,0.715,0.148,1.40334335207189e-75
"Nwd2",5.9301949761608e-78,1.24654785313351,0.472,0.067,1.03470041944054e-73
"Nkain3",1.49659465823243e-75,1.88267243044552,0.91,0.273,2.61125835968394e-71
"Satb1",4.41655725967775e-70,1.30629393312152,0.486,0.077,7.70600910668574e-66
"Hs6st3",8.76018459234527e-65,1.88658417597489,0.924,0.341,1.5284770076724e-60
"Pde4b",7.04271083652184e-63,1.41400961593915,0.778,0.208,1.22881218675633e-58
"Ccnd2",4.00458537830567e-61,1.36452483466286,0.653,0.145,6.98720056806773e-57
"Robo1",9.54419552613921e-61,1.44761630702751,0.764,0.199,1.66527123540077e-56
"Stard5",1.95956569999591e-60,1.45874529154458,0.632,0.14,3.41905023335287e-56
"Epha3",7.75900185703313e-58,1.29609767919131,0.639,0.144,1.35379064401514e-53
"Nrxn3",7.93050214628066e-57,1.40377747232375,1,0.627,1.38371401448305e-52
"Shisa6",1.64585013690272e-56,1.4897263692527,0.889,0.303,2.87167931886787e-52
"Ccbe1",1.97387013617202e-55,1.10823978825804,0.486,0.09,3.44400861359294e-51
"Chrm3",4.0765522008146e-55,1.24124237683822,0.903,0.283,7.11276827998131e-51
"Pde4d",5.02333923759398e-55,1.54225272381928,0.993,0.485,8.76472230175397e-51
"Cntn4",2.7140963956545e-54,1.52042377556608,0.889,0.334,4.73555539113797e-50
"Galnt3",6.06630374182933e-52,0.83222094741449,0.285,0.037,1.05844867687438e-47
