"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Satb2",0,1.58387592885378,0.3,0.045,0
"Vwc2l",0,1.72024823459672,0.292,0.022,0
"Dpp10",0,1.70462880301323,0.551,0.131,0
"Gm28928",0,2.27639226788334,0.558,0.082,0
"Lrrc4c",0,1.76101385612199,0.895,0.529,0
"Tshz2",0,3.24010415894873,0.867,0.08,0
"Lingo2",0,1.67200646287688,0.944,0.471,0
"Ptprd",0,1.62213698625602,0.995,0.699,0
"Ldb2",0,1.57448628324114,0.499,0.153,0
"Pdzrn3",0,1.87212363045483,0.401,0.049,0
"Gm28905",0,1.84782416170319,0.351,0.046,0
"Nrg1",0,1.60051787532474,0.709,0.291,0
"Sgcz",0,2.56386043845872,0.77,0.192,0
"Hs6st3",0,1.67154544874132,0.813,0.315,0
"Cntn5",0,2.10575448689271,0.826,0.285,0
"Tenm2",0,1.16188672677226,0.983,0.717,0
"Zbtb20",0,-1.96796320645772,0.34,0.761,0
"Gm26883",0,2.63629452639966,0.588,0.039,0
"Pcdh15",1.03262360010403e-295,1.37714009351264,0.529,0.165,1.80172165746151e-291
"Gpc6",2.71339904405161e-291,1.6191110387827,0.432,0.118,4.73433865206126e-287
"Kcnq5",5.29560550076019e-291,1.21986276528974,0.814,0.399,9.23977247772639e-287
"Meis2",8.32175636403704e-291,1.43442426797522,0.391,0.098,1.45198005039718e-286
"Snhg11",5.75415414545055e-267,0.883816672091648,0.998,0.759,1.00398481529821e-262
"Cit",2.75621978536393e-264,1.33474797618151,0.394,0.106,4.80905228150298e-260
"Kcnb2",3.10820052063744e-260,1.4304294346807,0.669,0.316,5.42318826840821e-256
"Khdrbs2",1.95456460261844e-248,1.46317158177135,0.596,0.254,3.41032431864865e-244
"Arpp21",1.72426821232465e-237,1.17642282637151,0.771,0.426,3.00850317686404e-233
"Car10",1.54075365349761e-234,1.43319660092243,0.478,0.167,2.68830697462264e-230
"Meg3",1.2848464912323e-230,0.754948152406304,0.999,0.897,2.24180015790212e-226
"Mgat4c",7.42533728588678e-230,1.27344798177953,0.614,0.259,1.29557284964153e-225
"Unc5d",1.32775537138899e-222,1.20386136848325,0.569,0.229,2.31666757199952e-218
"Pam",2.81014950332701e-218,1.26703336597489,0.572,0.243,4.90314885340497e-214
"Gria4",2.51507731264018e-211,1.20227934734934,0.546,0.221,4.38830689509458e-207
"Mef2c",6.04102941678595e-211,1.23585304904964,0.472,0.169,1.05403881264081e-206
"Gm15398",1.44368346823761e-209,1.34518140966905,0.283,0.069,2.51893891538099e-205
"Tox",9.61496625861042e-206,1.28692620531116,0.306,0.079,1.67761931280235e-201
"Asap1",4.51555395589984e-204,1.26801800905843,0.478,0.185,7.87873854225405e-200
"Phactr1",1.61659795466407e-186,0.986039993389438,0.805,0.494,2.82064011129787e-182
"Cdh20",7.08484455330687e-183,1.04296397679855,0.313,0.086,1.23616367766098e-178
"Zeb2",6.64425905923876e-179,-1.78138869958103,0.165,0.534,1.15929032065598e-174
"Gria1",1.78211653287963e-165,-1.4793464314363,0.363,0.64,3.10943692656838e-161
"Kcnh7",2.89514548160067e-161,1.00764048237755,0.638,0.312,5.05144983629685e-157
"Grm7",1.6290186154507e-160,0.93290145442357,0.793,0.521,2.84231168023838e-156
"Edil3",5.73968250982902e-145,1.07219940269429,0.435,0.183,1.00145980431497e-140
"5730522E02Rik",1.03627853883632e-144,1.06220289498339,0.578,0.304,1.8080987945616e-140
"Cntn3",1.21151570762344e-142,1.11017252991097,0.42,0.178,2.11385260666137e-138
"Zmat4",5.80851118153939e-142,1.1976751797808,0.427,0.184,1.01346903095499e-137
"Tenm3",8.11604511730978e-132,1.13418341163907,0.493,0.236,1.41608755206821e-127
"Tenm4",2.52186218467785e-130,1.0449915551766,0.53,0.28,4.40014513982591e-126
"Prr16",6.54760948603741e-129,1.07113997686932,0.281,0.093,1.14242690312381e-124
"Nrxn1",3.54230864966161e-125,0.569560842186686,0.958,0.789,6.18062013192958e-121
"Ptprn2",1.50752524692752e-123,1.00846361982073,0.595,0.349,2.63033005083914e-119
"Cacnb4",2.54963400873604e-119,1.00833796194652,0.449,0.215,4.44860141844265e-115
"Pcsk2",1.09937003333577e-113,0.886594465936077,0.6,0.35,1.91818083416425e-109
"Tmem145",9.51110211181743e-113,1.03059210436123,0.321,0.128,1.6594970964699e-108
"Kcnip4",2.27006080749683e-112,0.616948316920764,0.938,0.713,3.96080209692048e-108
"Ptprt",2.43108341958313e-112,0.84970822088517,0.36,0.143,4.24175435048865e-108
"Etl4",1.99516393805453e-111,0.724335410039012,0.504,0.25,3.48116203911754e-107
"Csmd1",3.27101164087384e-108,0.600386894267371,0.963,0.777,5.70726111099668e-104
"Epha3",2.48155234623376e-106,1.04553872140682,0.325,0.135,4.32981253370866e-102
"Kcnma1",3.56639139830676e-104,0.81472574222537,0.695,0.476,6.22263971176564e-100
"Runx1t1",2.04817395309899e-96,0.983954302574274,0.369,0.177,3.57365391336711e-92
"Grm8",1.2618105447949e-93,0.890051083683086,0.257,0.096,2.20160703855814e-89
"Chsy3",6.87760523752079e-92,0.935458344409668,0.305,0.129,1.20000456184263e-87
"Camk2d",1.74227157270155e-90,0.872433602254094,0.253,0.094,3.03991544004966e-86
"Hecw1",1.81593958213081e-90,0.892059728091154,0.346,0.16,3.16845138290183e-86
"Syt1",5.31169121759686e-90,0.550360706221301,0.924,0.708,9.267838836463e-86
"Nfib",3.49734610274411e-88,-1.19536199408149,0.157,0.411,6.10216948006792e-84
