"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rgs20",0,1.94117876319816,0.492,0.076,0
"Igfbp5",0,2.330163254721,0.411,0.036,0
"Acsl3",0,1.82736720864181,0.455,0.097,0
"Dbi",0,1.62526724814199,0.78,0.411,0
"Gpr37l1",0,1.87848536791047,0.571,0.127,0
"Glul",0,1.93844123442721,0.674,0.235,0
"Prdx6",0,2.22674818746916,0.722,0.203,0
"Myoc",0,3.23448418733774,0.291,0.019,0
"Atp1a2",0,1.93440342460426,0.667,0.145,0
"Celf2",0,-2.04197164289629,0.453,0.813,0
"Vim",0,2.02930698590396,0.33,0.04,0
"Slc1a2",0,2.62127213383713,0.928,0.289,0
"Cst3",0,1.95260032567824,0.994,0.875,0
"Snhg11",0,-2.80696774126743,0.4,0.788,0
"Sdc4",0,1.73946965887495,0.288,0.036,0
"Tmem47",0,2.19899026284464,0.496,0.066,0
"Gpm6b",0,1.84605266127934,0.855,0.474,0
"Bcan",0,1.57670817865342,0.571,0.166,0
"F3",0,1.89865147371699,0.533,0.102,0
"Bmpr1b",0,1.93652983272961,0.369,0.039,0
"Ptprd",0,-2.68127851489859,0.247,0.736,0
"Plpp3",0,2.18839219173978,0.763,0.159,0
"Id3",0,3.22929445959072,0.66,0.07,0
"Padi2",0,1.74346144681247,0.285,0.026,0
"Kcnip4",0,-2.89044784940341,0.298,0.744,0
"Sparcl1",0,2.1731011647302,0.858,0.338,0
"Phkg1",0,1.49173819527312,0.406,0.084,0
"Kcnd2",0,-2.61630811178107,0.143,0.698,0
"Ptprz1",0,1.46022675328711,0.624,0.204,0
"Tprkb",0,1.76793334052022,0.401,0.078,0
"Cd9",0,1.83493593132986,0.56,0.14,0
"Grin2b",0,-2.9087587002946,0.136,0.735,0
"Apoe",0,2.83863523359968,0.999,0.915,0
"Fxyd1",0,2.20753897439736,0.441,0.062,0
"Ube3a",0,-2.44711981492263,0.169,0.697,0
