"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Cst3",2.48495661397482,-0.755938329399354,0.0641971831349577,4.60165141922611e-42,4.01724168898439e-39
"Apoe",2.91797826211011,-0.641430157014398,0.0607981640478375,1.60740364079574e-35,7.0163168920734e-33
"Thy1",0.558386114223967,-1.23124526492954,0.111925159533132,5.46981762326474e-32,1.59171692837004e-29
"Gfap",0.294917406868705,-2.42011605682381,0.223349585629884,8.47313627140594e-19,1.84926199123435e-16
"Ly6h",1.23872687589931,-0.45949788422703,0.0800638218987617,9.25702885268463e-15,1.61627723767874e-12
"Cck",0.717378652576457,0.589743495558235,0.104530839201687,4.89228166443396e-14,6.7638364684011e-12
"Pcdh9",4.49936301929072,-0.376094133813531,0.052675179061588,5.42346566767557e-14,6.7638364684011e-12
"Pbx1",0.863628231089632,-0.511939880438874,0.0952554481065417,4.72333507773731e-13,5.15433940358084e-11
"Mt1",0.895854727617583,-0.419388657491318,0.0967691973209274,5.33896587127465e-13,5.17879689513641e-11
"Nrxn1",4.17182275020141,-0.293905302721812,0.0530651291567206,5.96453379701949e-13,5.20703800479802e-11
"Calm2",2.03538662608505,0.242632731042787,0.0652255716041985,7.39247461526873e-13,5.866936671936e-11
"Itm2b",0.86462762665887,0.370403609982403,0.0949897789889946,2.20647247236289e-12,1.605208723644e-10
"Rtn1",1.10000623174426,0.288605152667604,0.0829651701526147,1.1264718572974e-11,7.56469178015872e-10
"Mbp",1.90938109083614,-0.344459086554149,0.0773607397993875,2.9369092377878e-11,1.83137268899197e-09
"Calm1",0.975034106895697,0.15127358936662,0.103112208274742,2.78757130064756e-10,1.62236649697688e-08
"Cadm2",3.1487015551348,-0.363919307485936,0.063590315793964,3.38711389578297e-10,1.84809401938658e-08
"Nrg3",5.31405213359199,-0.27015942540499,0.0490855304090895,3.71912084035063e-10,1.90987793742712e-08
"Gm20388",2.27410721869922,0.236245279665509,0.0537990887231998,6.95581330545437e-10,3.37356945314537e-08
"Hspa8",0.568940148047752,0.383557460776752,0.109373430393104,1.12670901161553e-09,5.17693140600187e-08
"Ubb",1.62181039905886,0.066909246052982,0.0652719018768057,1.70878275816446e-09,7.45883673938785e-08
"Atp1b1",0.814591226820669,0.352340457507233,0.0941629047963301,1.8822109503428e-09,7.82461980785364e-08
