Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007399~nervous system development	14	12.612612612612612	4.310549044050367E-7	PCSK2, APP, GPM6A, MYT1L, SEMA6D, D130043K22RIK, LDB2, RTN4, CIT, MAP1B, CHN1, CNTN4, TOX, BRINP3	103	439	19708	6.101952805360815	4.339781865361214E-4	4.3407228873587194E-4	4.1984747689050576E-4
GOTERM_BP_DIRECT	GO:0035235~ionotropic glutamate receptor signaling pathway	5	4.504504504504505	1.1733483265622154E-6	GRIA2, APP, ATP1A3, GRIN2B, GRIN1	103	16	19708	59.793689320388346	0.0011808646880148155	5.907808824240755E-4	5.714206350357989E-4
GOTERM_BP_DIRECT	GO:0051592~response to calcium ion	7	6.306306306306306	1.8073980378265316E-6	PPP3CA, PCDH15, PEBP1, CALM3, MT-CYTB, CALM1, CALM2	103	71	19708	18.864487898263366	0.001818396179548376	6.066832746971058E-4	5.86801896281014E-4
GOTERM_BP_DIRECT	GO:0006123~mitochondrial electron transport, cytochrome c to oxygen	5	4.504504504504505	3.0742222904304925E-6	COX8A, MT-CO1, MT-CO3, COX6A1, COX7C	103	20	19708	47.834951456310684	0.0030909597223535146	7.739354616158765E-4	7.485731277198249E-4
GOTERM_BP_DIRECT	GO:0016240~autophagosome docking	4	3.6036036036036037	1.1053688556141948E-5	VMP1, CALM3, CALM1, CALM2	103	9	19708	85.03991370010786	0.011069404137447725	0.0018551773960058236	0.001794382108947043
GOTERM_BP_DIRECT	GO:1990456~mitochondrion-ER tethering	4	3.6036036036036037	1.1053688556141948E-5	VMP1, CALM3, CALM1, CALM2	103	9	19708	85.03991370010786	0.011069404137447725	0.0018551773960058236	0.001794382108947043
GOTERM_BP_DIRECT	GO:0007613~memory	7	6.306306306306306	3.1041382591803334E-5	APP, ATP1A3, CCK, MAPT, GRIN2B, KCNK2, GRIN1	103	116	19708	11.546367592902577	0.03077564117451126	0.00446552460999228	0.004319186663488064
GOTERM_BP_DIRECT	GO:0019722~calcium-mediated signaling	6	5.405405405405405	4.946900746484092E-5	APP, PPP3CA, CALM3, CALM1, CALM2, NCALD	103	77	19708	14.909595259109823	0.04859603049428374	0.00622691131463685	0.006022851658844382
GOTERM_BP_DIRECT	GO:0001975~response to amphetamine	5	4.504504504504505	6.50764698567185E-5	PPP3CA, CALM3, CALM1, CALM2, GRIN1	103	42	19708	22.778548312528894	0.06343292587648608	0.007281333905079503	0.007042720182271536
GOTERM_BP_DIRECT	GO:0090151~establishment of protein localization to mitochondrial membrane	3	2.7027027027027026	7.930635559549684E-5	CALM3, CALM1, CALM2	103	3	19708	191.33980582524273	0.07675871706829562	0.007986150008466532	0.007724439035001393
GOTERM_BP_DIRECT	GO:0002834~regulation of response to tumor cell	3	2.7027027027027026	1.5807632147001358E-4	CALM3, CALM1, CALM2	103	4	19708	143.50485436893206	0.14717033312693406	0.013265237976691973	0.012830528092649436
