Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	29	12.033195020746888	1.4730768821846198E-10	CNTNAP2, NLGN1, TENM3, CLSTN2, NRXN1, NTM, CTNND2, NRXN3, PTPRK, THY1, CDH20, NCAM1, CTNNA2, NCAM2, EDIL3, KIRREL3, PCDH9, DSCAM, CADM1, CNTN5, NEGR1, CADM2, PRKCE, PCDH7, LSAMP, CDH10, CNTN1, CNTN3, PLCB1	222	594	19708	4.334122000788668	2.4423617261959407E-7	1.4221550639088174E-7	1.3741208759842736E-7
GOTERM_BP_DIRECT	GO:0007399~nervous system development	25	10.37344398340249	1.7155067115908534E-10	GABRB3, ROBO2, NLGN1, KALRN, ATXN1, FUT9, IGF2BP3, EPHA5, MEF2C, RBFOX1, DSCAM, DCC, MAGI2, NRG1, NAV2, DCLK1, DAB1, FGF14, NRG3, NAV3, CNTN1, TCF4, CNTN3, MDGA2, SHANK1	222	439	19708	5.055511091957561	2.8443095811958585E-7	1.4221550639088174E-7	1.3741208759842736E-7
GOTERM_BP_DIRECT	GO:0099560~synaptic membrane adhesion	9	3.7344398340248963	5.644596423998622E-10	PTPRD, NLGN1, LRFN5, CADM1, NRXN1, NRG1, LRRC4C, GPC6, EPHA3	222	28	19708	28.534749034749037	9.358735628683945E-7	3.119580290329905E-7	3.014214490415264E-7
GOTERM_BP_DIRECT	GO:0007269~neurotransmitter secretion	9	3.7344398340248963	1.0426424699990434E-9	RIMS2, RIMS1, SNAP25, PTPRN2, SYT1, NRXN1, NRXN3, SYN2, DGKI	222	30	19708	26.632432432432434	1.7286996338850003E-6	4.321753038146035E-7	4.175783092346169E-7
GOTERM_BP_DIRECT	GO:0007268~chemical synaptic transmission	16	6.639004149377594	4.3259462741108255E-9	GABRB3, CNTNAP2, CHRM3, GABRB1, NLGN1, NRXN1, NRXN3, GRIK2, GRM5, CACNB4, DLG2, FGF14, GRM7, KCNMA1, EXOC4, GRIA4	222	191	19708	7.436630347625112	7.172393205912009E-6	1.4344837844951499E-6	1.3860331862251084E-6
GOTERM_BP_DIRECT	GO:0007420~brain development	17	7.053941908713693	5.811867426290363E-8	GABRB3, ROBO2, SYT1, CTTNBP2, ROGDI, UNC5C, NRG1, ATP2B1, MEIS2, PBX1, DCLK1, CST3, ATXN1, CNTN1, MACROD2, PLCB1, ADGRL3	222	266	19708	5.673575831470568	9.635612226932544E-5	1.6060126987982367E-5	1.5517686028195268E-5
GOTERM_BP_DIRECT	GO:0042391~regulation of membrane potential	12	4.979253112033195	7.70607205235672E-8	GABRB3, RIMS2, RIMS1, GABRB1, PEX5L, CACNB4, KCNH7, KCNMA1, DMD, GRIK2, ASIC2, HCN1	222	116	19708	9.183597390493942	1.2775851764990076E-4	1.825238208972492E-5	1.7635896325536382E-5
GOTERM_BP_DIRECT	GO:0007416~synapse assembly	9	3.7344398340248963	1.7048520883620333E-7	KIRREL3, NLGN1, PCLO, DSCAM, CADM1, NRXN1, NRXN3, NRG1, ADGRL3	222	55	19708	14.526781326781329	2.826245545042294E-4	3.533305953130314E-5	3.4139663069449715E-5
GOTERM_BP_DIRECT	GO:0034765~regulation of ion transmembrane transport	12	4.979253112033195	7.466920128212317E-7	CACNB4, KCND2, KCNH7, KCNB2, CACNA2D1, KCNMA1, KCNIP4, CACNA2D3, KCNQ5, ASIC2, KCNJ3, HCN1	222	145	19708	7.346877912395154	0.001237249793956785	1.3755726191751135E-4	1.3291117828217924E-4
GOTERM_BP_DIRECT	GO:0007411~axon guidance	13	5.394190871369295	1.3880240161556745E-6	ROBO2, EPHA5, MEG3, EPHA6, DSCAM, CNTN5, DCC, UNC5C, UNC5D, ANK3, KALRN, CNTN1, EPHA3	222	187	19708	6.171508406802524	0.0022986993508339326	2.3013438187861085E-4	2.2236144738813904E-4
GOTERM_BP_DIRECT	GO:2000300~regulation of synaptic vesicle exocytosis	9	3.7344398340248963	2.1576341957437842E-6	RIMS2, RIMS1, CACNB4, SYT1, GRM7, PRKCE, NRXN3, DGKI, STXBP5L	222	76	19708	10.512802275960171	0.003570970222148029	3.252143178675631E-4	3.1422999832559473E-4
GOTERM_BP_DIRECT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	12	4.979253112033195	3.754911464144485E-6	PTPRT, ROBO2, KIRREL3, TENM3, PCDH9, DSCAM, CLSTN2, CADM1, CNTN5, CDH20, PCDH7, CDH10	222	171	19708	6.229808756124546	0.00620631566037233	5.188036006292963E-4	5.012806804632888E-4
